Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Duration_format,Genre_format,Producers_format,Studios_format
Honoo no Mirage: Minagiwa no Hangyakusha,6.91,"Action, Romance, Supernatural, Historical, Drama, Shoujo, Shounen Ai",OVA,3,Aniplex,Madhouse,Light novel,30 min. per ep.,30,Action,Aniplex,Madhouse
Kaikan Phrase,7.4,"Drama, Music, Romance, Shoujo",TV,44,"TV Tokyo, Shogakukan-Shueisha Productions",Studio Hibari,Manga,24 min. per ep.,24,Drama,TV Tokyo,Studio Hibari
Wolf's Rain OVA,8.03,"Sci-Fi, Adventure, Psychological, Supernatural, Drama",OVA,4,"Bandai Visual, Asatsu DK",Bones,Original,23 min. per ep.,23,Drama,Bandai Visual,Bones
Kachou Ouji,7.01,"Sci-Fi, Adventure, Music, Slice of Life, Space, Comedy",TV,13,Pioneer LDC,"AIC, APPP",Original,25 min. per ep.,25,Comedy,Pioneer LDC,AIC
Yakumotatsu,6.11,"Adventure, Supernatural, Historical, Horror, Shoujo",OVA,2,Bandai Visual,Studio Pierrot,Manga,29 min. per ep.,29,Adventure,Bandai Visual,Studio Pierrot
Arete Hime,6.92,"Fantasy, Magic",Movie,1,"Dentsu, Imagica, Shogakukan, Beyond C., Nichion",Studio 4°C,Novel,1 hr. 45 min.,105,Fantasy,Dentsu,Studio 4°C
Omoide Poroporo,7.48,"Slice of Life, Drama, Romance",Movie,1,Tokuma Shoten,Studio Ghibli,Manga,1 hr. 58 min.,118,Drama,Tokuma Shoten,Studio Ghibli
Heisei Tanuki Gassen Ponpoko,7.34,Kids,Movie,1,"Daiei, Nippon Television Network",Studio Ghibli,Original,1 hr. 59 min.,119,Kids,Nippon Television Network,Studio Ghibli
Hanare Toride no Yonna,5.09,"Adventure, Fantasy",Movie,1,"Capcom, CoMix Wave Films",Studio 4°C,Original,33 min.,33,Fantasy,Capcom,Studio 4°C
Kumo no You ni Kaze no You ni,6.81,"Adventure, Historical, Drama, Romance",Movie,1,Yomiko Advertising,Studio Pierrot,Novel,1 hr. 20 min.,80,Drama,Yomiko Advertising,Studio Pierrot
Sennen Joyuu,8.27,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,"Bandai Visual, WOWOW, Genco, Kadokawa Shoten, KlockWorx",Madhouse,Original,1 hr. 27 min.,87,Action,Bandai Visual,Madhouse
Mizuiro,5.88,Hentai,OVA,2,Pink Pineapple,Arms,Visual novel,30 min. per ep.,30,Hentai,Pink Pineapple,Arms
Mizuiro (2003),6.41,"Romance, Supernatural, Drama",OVA,2,NEC Avenue,OLM,Visual novel,30 min. per ep.,30,Drama,NEC Avenue,OLM
Mizuiro Jidai,6.9,"Slice of Life, Drama, Romance, School, Shoujo",TV,47,Studio Comet,Nippon Animation,Manga,25 min. per ep.,25,Drama,Studio Comet,Nippon Animation
Zetsuai 1989,6.44,"Drama, Music, Romance, Sports, Yaoi",OVA,1,Shueisha,Madhouse,Manga,46 min.,46,Drama,Shueisha,Madhouse
Bronze: Zetsuai Since 1989,6.45,"Drama, Music, Romance, Sports, Yaoi",OVA,1,"Victor Entertainment, Shueisha",Production I.G,Manga,54 min.,54,Drama,Shueisha,Production I.G
Tokyo Babylon,6.72,"Action, Magic, Mystery, Supernatural",OVA,2,"animate Film, Movic, Sony Music Entertainment",Madhouse,Manga,50 min. per ep.,50,Action,Movic,Madhouse
Elf wo Karu Mono-tachi,7.03,"Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen",TV,12,"Sotsu, Showgate","Group TAC, Amuse",Manga,24 min. per ep.,24,Comedy,Sotsu,Group TAC
The SoulTaker: Tamashii-gari,6.38,"Demons, Horror, Supernatural",TV,13,"WOWOW, Pioneer LDC, Toshiba Entertainment, Toshiba Digital Frontiers",Tatsunoko Production,Original,25 min. per ep.,25,Supernatural,Pioneer LDC,Tatsunoko Production
Cello Hiki no Gauche (1982),6.92,"Music, Kids, Drama, Fantasy",Movie,1,Studio Ghibli,Oh! Production,Book,1 hr. 3 min.,63,Drama,Studio Ghibli,Oh! Production
Bobobo-bo Bo-bobo,7.5,"Sci-Fi, Adventure, Comedy, Shounen",TV,76,"Avex Entertainment, Dentsu, TV Asahi",Toei Animation,Manga,25 min. per ep.,25,Comedy,Dentsu,Toei Animation
Good Morning Call,6.13,"Comedy, Drama, Romance, School, Shoujo",OVA,1,Nihon Ad Systems,Production I.G,Manga,19 min.,19,Comedy,Nihon Ad Systems,Production I.G
Ippatsu Kiki Musume,6.26,"Action, Comedy, Ecchi",TV,16,TBS,Group TAC,Manga,3 min. per ep.,3,Comedy,TBS,Group TAC
Oruchuban Ebichu,7.4,"Comedy, Ecchi, Seinen",TV,24,"Group TAC, Pioneer LDC",Gainax,Manga,8 min. per ep.,8,Comedy,Pioneer LDC,Gainax
Mazinkaiser,7.31,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",OVA,7,"Bandai Visual, Bee Media, Dynamic Planning",Brain's Base,Manga,30 min. per ep.,30,Comedy,Bandai Visual,Brain's Base
Touch,8.02,"Sports, Romance, School, Drama, Slice of Life, Shounen",TV,101,"Asatsu DK, Fuji TV, Toho","Gallop, Group TAC, Studio Junio",Manga,25 min. per ep.,25,Drama,Fuji TV,Group TAC
Chou Denji Machine Voltes V,7.45,"Action, Sci-Fi, Adventure, Drama, Mecha, Shounen",TV,40,TV Asahi,"Sunrise, Toei Animation",Original,23 min. per ep.,23,Action,TV Asahi,Sunrise
Sweat Punch,7.41,"Action, Historical, Fantasy, Mecha",OVA,5,Beyond C.,Studio 4°C,Original,11 min. per ep.,11,Action,Beyond C.,Studio 4°C
Cardcaptor Sakura: Kero-chan ni Omakase!,7.34,"Comedy, Shoujo",Movie,1,"NHK, Kodansha, Shelty",Madhouse,Manga,10 min.,10,Comedy,Kodansha,Madhouse
Armitage III,7.05,"Action, Adventure, Romance, Mecha, Sci-Fi, Police",OVA,4,Pioneer LDC,AIC,Original,34 min. per ep.,34,Action,Pioneer LDC,AIC
Sentou Yousei Yukikaze,7.21,"Action, Drama, Military, Psychological, Sci-Fi, Space",OVA,5,Bandai Visual,Gonzo,Novel,37 min. per ep.,37,Action,Bandai Visual,Gonzo
Hikari to Mizu no Daphne,6.76,"Sci-Fi, Mystery, Comedy, Police, Psychological, Drama, Ecchi",TV,24,"Genco, Lantis, Toshiba Entertainment",J.C.Staff,Original,24 min. per ep.,24,Comedy,Lantis,J.C.Staff
Human Crossing,6.34,"Drama, Slice of Life, Sports",TV,13,"TV Tokyo, Shogakukan-Shueisha Productions",A.C.G.T.,Manga,24 min. per ep.,24,Drama,TV Tokyo,A.C.G.T.
Interlude,6.47,"Adventure, Horror, Mystery",OVA,3,Happinet Pictures,Toei Animation,Visual novel,40 min. per ep.,40,Adventure,Happinet Pictures,Toei Animation
Kimagure Orange☆Road,7.55,"Comedy, Drama, Romance, School, Shounen, Slice of Life, Super Power",TV,48,Toho,Studio Pierrot,Manga,25 min. per ep.,25,Comedy,Toho,Studio Pierrot
Macross,7.94,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",TV,36,"Artland, Mainichi Broadcasting System, Studio Nue, Anime Friend",Tatsunoko Production,Original,25 min. per ep.,25,Action,Mainichi Broadcasting System,Tatsunoko Production
Macross: Do You Remember Love?,7.97,"Action, Military, Sci-Fi, Music, Space, Romance, Mecha",Movie,1,"Mainichi Broadcasting System, Studio Nue, Big West","Artland, Tatsunoko Production",Original,1 hr. 55 min.,115,Action,Mainichi Broadcasting System,Tatsunoko Production
Mobile Suit Gundam I,7.3,"Action, Military, Sci-Fi, Adventure, Space, Drama, Mecha",Movie,1,Sotsu,Sunrise,Original,2 hr. 20 min.,140,Action,Sotsu,Sunrise
Mobile Suit Gundam II: Soldiers of Sorrow,7.39,"Action, Military, Sci-Fi, Space, Drama, Mecha",Movie,1,Sotsu,Sunrise,Original,2 hr. 15 min.,135,Action,Sotsu,Sunrise
Mobile Suit Gundam III: Encounters in Space,7.78,"Action, Military, Sci-Fi, Adventure, Space, Drama, Mecha",Movie,1,Sotsu,Sunrise,Original,2 hr. 20 min.,140,Action,Sotsu,Sunrise
Oishinbo,6.4,"Comedy, Slice of Life, Seinen",TV,136,TV Asahi,Shin-Ei Animation,Manga,23 min. per ep.,23,Comedy,TV Asahi,Shin-Ei Animation
Kidou Keisatsu Patlabor the Movie,7.55,"Drama, Mecha, Military, Police",Movie,1,"Bandai Visual, Shochiku, Bandai, Tohokushinsha Film Corporation","Production I.G, Studio Deen",Original,1 hr. 39 min.,99,Drama,Bandai Visual,Studio Deen
Kidou Keisatsu Patlabor 2 the Movie,7.9,"Military, Sci-Fi, Mystery, Police, Drama, Mecha",Movie,1,"Bandai Visual, VAP, Shochiku, Tohokushinsha Film Corporation","Production I.G, Production Reed",Original,1 hr. 48 min.,108,Drama,Bandai Visual,Production I.G
Lime-iro Senkitan,5.97,"Drama, Ecchi, Harem, Historical, Mecha, Supernatural",TV,13,"KSS, Soft Garage",Studio Hibari,Visual novel,26 min. per ep.,26,Drama,KSS,Studio Hibari
Soreyuke! Uchuu Senkan Yamamoto Yohko,6.12,"Sci-Fi, Adventure, Comedy",OVA,3,Kadokawa Shoten,J.C.Staff,Novel,30 min. per ep.,30,Comedy,Kadokawa Shoten,J.C.Staff
Shinkon Gattai Godannar!!,6.69,"Ecchi, Comedy, Mecha, Romance, Sci-Fi",TV,13,AIC,OLM,Original,25 min. per ep.,25,Comedy,AIC,OLM
Eikyuu Kazoku,5.96,"Psychological, Comedy",Movie,1,Beyond C.,Studio 4°C,Original,28 min.,28,Comedy,Beyond C.,Studio 4°C
Youjuu Toshi,6.44,"Action, Adventure, Demons, Drama, Horror, Super Power",Movie,1,Japan Home Video,Madhouse,Novel,1 hr. 22 min.,82,Action,Japan Home Video,Madhouse
Senkaiden Houshin Engi,7.13,"Magic, Adventure, Fantasy, Supernatural, Historical, Shounen",TV,26,TV Tokyo Music,Studio Deen,Manga,24 min. per ep.,24,Fantasy,TV Tokyo Music,Studio Deen
Monster Extra: Hottan,6.68,"Drama, Horror, Mystery, Seinen",Special,1,VAP,Madhouse,Manga,24 min.,24,Drama,VAP,Madhouse
Mermaid Melody Pichi Pichi Pitch Pure,7.09,"Adventure, Music, Comedy, Magic, Romance, Shoujo",TV,39,Synergy Japan,"Actas, SynergySP",Manga,25 min. per ep.,25,Comedy,Synergy Japan,Actas
Vandread: Taidou-hen,6.8,"Action, Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space",OVA,1,Imagine,Gonzo,Original,1 hr. 18 min.,78,Comedy,Imagine,Gonzo
One: Kagayaku Kisetsu e - True Stories,6.3,Hentai,OVA,3,CherryLips,Arms,Visual novel,30 min. per ep.,30,Hentai,CherryLips,Arms
Handsome Girl,5.76,"Romance, Shoujo",OVA,1,Shueisha,J.C.Staff,Manga,37 min.,37,Romance,Shueisha,J.C.Staff
Junkers Come Here,7.14,"Slice of Life, Drama",Movie,1,"Bandai Visual, Kadokawa Shoten",Triangle Staff,Novel,1 hr. 39 min.,99,Drama,Bandai Visual,Triangle Staff
Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,7.36,"Adventure, Comedy, Kids, Drama, Fantasy",Movie,1,Studio Jack,OLM,Game,1 hr. 20 min.,80,Comedy,Studio Jack,OLM
Pokemon Movie 03: Kesshoutou no Teiou Entei,7.09,"Action, Adventure, Comedy, Kids, Drama, Fantasy",Movie,1,Studio Jack,OLM,Game,1 hr. 31 min.,91,Comedy,Studio Jack,OLM
Pokemon Movie 04: Celebi Toki wo Koeta Deai,6.92,"Adventure, Comedy, Kids, Drama, Fantasy",Movie,1,Studio Jack,OLM,Game,1 hr. 19 min.,79,Comedy,Studio Jack,OLM
Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,7.18,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,Studio Jack,OLM,Game,1 hr. 14 min.,74,Comedy,Studio Jack,OLM
Pokemon Movie 06: Nanayo no Negaiboshi Jirachi,6.76,"Adventure, Comedy, Kids, Drama, Fantasy",Movie,1,"TV Tokyo, Shogakukan-Shueisha Productions, Studio Jack",OLM,Game,1 hr. 21 min.,81,Comedy,TV Tokyo,OLM
Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,6.98,"Action, Sci-Fi, Adventure, Comedy, Kids, Fantasy",Movie,1,Studio Jack,OLM,Game,1 hr. 38 min.,98,Comedy,Studio Jack,OLM
Bouken Ou Beet Excellion,6.72,"Adventure, Fantasy, Shounen, Supernatural",TV,25,"TV Tokyo, Dentsu",Toei Animation,Manga,24 min. per ep.,24,Fantasy,TV Tokyo,Toei Animation
Seikai no Danshou: Tanjou,7.14,"Military, Romance, Sci-Fi, Space",Special,1,"Bandai Visual, WOWOW",Sunrise,Light novel,25 min.,25,Sci-Fi,Bandai Visual,Sunrise
Figure 17: Tsubasa & Hikaru,7.23,"Sci-Fi, Slice of Life",TV,13,"Bandai Visual, Genco, MediaNet",OLM,Original,47 min. per ep.,47,Sci-Fi,Bandai Visual,OLM
UFO Princess Valkyrie,6.75,"Comedy, Ecchi, Magic, Sci-Fi",TV,12,"Media Factory, Nippon Columbia, KlockWorx, Toshiba Entertainment",TNK,Manga,23 min. per ep.,23,Comedy,KlockWorx,TNK
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,6.97,"Comedy, Romance, Sci-Fi",TV,12,"Media Factory, KlockWorx, Toshiba Entertainment",TNK,Manga,23 min. per ep.,23,Comedy,KlockWorx,TNK
UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou,6.88,"Sci-Fi, Comedy, Romance",Special,1,"Media Factory, Nippon Columbia, KlockWorx, Toshiba Entertainment",TNK,Manga,24 min.,24,Comedy,KlockWorx,TNK
Windaria,6.54,"Action, Drama, Fantasy, Romance, Sci-Fi",Movie,1,Gallop,"Kaname Productions, Idol",Original,1 hr. 40 min.,100,Action,Gallop,Kaname Productions
Digimon Frontier,7.15,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",TV,50,"Yomiko Advertising, Fuji TV",Toei Animation,Original,23 min. per ep.,23,Comedy,Fuji TV,Toei Animation
Tenchi Muyou! GXP,7.18,"Action, Comedy, Harem, Mecha, Police, Sci-Fi, Shounen, Space",TV,26,VAP,AIC,Original,24 min. per ep.,24,Comedy,VAP,AIC
Munto: Toki no Kabe wo Koete,7.02,"Action, Fantasy, Magic, Super Power",OVA,1,Animation Do,Kyoto Animation,Original,1 hr.,1,Action,Animation Do,Kyoto Animation
Mushrambo,6.98,"Sci-Fi, Adventure, Drama, Fantasy, Shounen",TV,32,TV Asahi,Toei Animation,Original,23 min. per ep.,23,Drama,TV Asahi,Toei Animation
Medarot,7.07,"Adventure, Comedy, Sci-Fi, Shounen",TV,52,"TV Tokyo, Nihon Ad Systems, Nelvana",Bee Train,Game,24 min. per ep.,24,Comedy,TV Tokyo,Bee Train
Giniro no Kami no Agito,7.11,"Adventure, Drama, Fantasy, Romance, Sci-Fi",Movie,1,"GDH, Dentsu, Media Factory, Shochiku, Victor Entertainment, Yahoo! Japan, Asahi Broadcasting",Gonzo,Original,1 hr. 35 min.,95,Drama,Dentsu,Gonzo
Hachimitsu to Clover II,8.26,"Drama, Josei, Romance, Slice of Life",TV,12,"Genco, Fuji TV, Sony Music Entertainment, Shueisha",J.C.Staff,Manga,23 min. per ep.,23,Drama,Fuji TV,J.C.Staff
Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!,7.37,"Comedy, Harem, Romance, Sci-Fi, Shounen",OVA,1,Pioneer LDC,AIC,Original,43 min.,43,Comedy,Pioneer LDC,AIC
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,7.26,"Action, Sci-Fi, Harem, Space, Comedy, Shounen",OVA,1,VAP,AIC,Original,30 min.,30,Comedy,VAP,AIC
Teito Monogatari,5.99,"Historical, Horror, Supernatural",OVA,4,"Toei Video, Oz",Madhouse,Novel,47 min. per ep.,47,Supernatural,Toei Video,Madhouse
Dominion,6.93,"Sci-Fi, Comedy, Police, Mecha",OVA,4,Toshiba Entertainment,Agent 21,Manga,36 min. per ep.,36,Comedy,Toshiba Entertainment,Agent 21
New Dominion Tank Police,6.95,"Police, Comedy, Mecha, Sci-Fi, Shounen",OVA,6,Sanctuary,J.C.Staff,Manga,30 min. per ep.,30,Comedy,Sanctuary,J.C.Staff
I: Wish You Were Here,6.07,"Action, Drama, Mystery, Sci-Fi",TV,4,"GDH, Media Factory",Gonzo,Original,27 min. per ep.,27,Action,Media Factory,Gonzo
Final Fantasy: Unlimited,6.2,"Action, Adventure, Fantasy, Sci-Fi, Shounen",TV,25,"TV Tokyo, Dentsu, TV Tokyo Music",Gonzo,Game,24 min. per ep.,24,Action,TV Tokyo,Gonzo
Geobreeders: File-X Chibi Neko Dakkan,6.3,"Adventure, Comedy, Shounen, Supernatural",OVA,3,Victor Entertainment,Chaos Project,Manga,30 min. per ep.,30,Comedy,Victor Entertainment,Chaos Project
Maze☆Bakunetsu Jikuu (TV),6.65,"Adventure, Comedy, Fantasy, Mecha, Shounen",TV,25,Kadokawa Shoten,J.C.Staff,Manga,24 min. per ep.,24,Comedy,Kadokawa Shoten,J.C.Staff
Maze☆Bakunetsu Jikuu,6.11,"Adventure, Comedy, Fantasy, Mecha, Shounen",OVA,2,Kadokawa Shoten,J.C.Staff,Manga,30 min. per ep.,30,Comedy,Kadokawa Shoten,J.C.Staff
Neo Ranga,6.53,"Adventure, Horror, Mecha",TV,48,"Pony Canyon, Marubeni",Studio Pierrot,Original,15 min. per ep.,15,Adventure,Pony Canyon,Studio Pierrot
Sakura Taisen: Gouka Kenran,6.86,"Adventure, Mecha, Sci-Fi, Shounen",OVA,6,"animate Film, Sega, Imagine",Radix,Game,30 min. per ep.,30,Sci-Fi,Imagine,Radix
Samurai Gun,6.0,"Action, Historical, Seinen",TV,12,"Avex Entertainment, TV Asahi",Studio Egg,Manga,24 min. per ep.,24,Action,TV Asahi,Studio Egg
Green Legend Ran,6.66,"Adventure, Drama, Sci-Fi",OVA,3,Pioneer LDC,AIC,Original,45 min. per ep.,45,Drama,Pioneer LDC,AIC
Slayers Special,7.37,"Adventure, Comedy, Supernatural, Magic, Fantasy, Shounen",OVA,3,"Kadokawa Shoten, Marubeni",J.C.Staff,Light novel,29 min. per ep.,29,Comedy,Kadokawa Shoten,J.C.Staff
Slayers Excellent,7.33,"Adventure, Comedy, Demons, Supernatural, Magic, Fantasy, Shounen",OVA,3,Bandai Visual,J.C.Staff,Light novel,29 min. per ep.,29,Comedy,Bandai Visual,J.C.Staff
Slayers Try,7.83,"Adventure, Comedy, Demons, Magic, Fantasy, Shounen",TV,26,"SoftX, E&G Films",J.C.Staff,Light novel,23 min. per ep.,23,Comedy,SoftX,J.C.Staff
Metal Fighter Miku,6.04,"Sci-Fi, Comedy, Sports, Shounen",TV,13,"Victor Entertainment, Studio Jack",J.C.Staff,Original,25 min. per ep.,25,Comedy,Studio Jack,J.C.Staff
Alien 9,6.67,"Sci-Fi, Horror, Psychological, School",OVA,4,"Bandai Visual, Genco, MediaNet, AT-X, Nippon Columbia",J.C.Staff,Manga,28 min. per ep.,28,Sci-Fi,Bandai Visual,J.C.Staff
Detonator Orgun,6.45,"Action, Sci-Fi, Mecha",OVA,3,Darts,"AIC, Artmic",Original,52 min. per ep.,52,Action,Darts,AIC
Gakuen Senki Muryou,7.07,"Sci-Fi, Adventure, Space, Supernatural, Mecha, Shounen",TV,26,Starchild Records,Madhouse,Original,25 min. per ep.,25,Sci-Fi,Starchild Records,Madhouse
Hyper Police,6.95,"Action, Comedy, Police, Romance, Sci-Fi",TV,25,"Kadokawa Shoten, Marubeni, Nippon Columbia",Studio Pierrot,Manga,24 min. per ep.,24,Comedy,Kadokawa Shoten,Studio Pierrot
Hikyou Tanken Fam & Ihrlie,6.66,"Action, Adventure, Comedy, Fantasy, Magic",OVA,4,"Bandai Visual, animate Film, Movic, Nippon Columbia",Ajia-Do,Manga,30 min. per ep.,30,Comedy,Bandai Visual,Ajia-Do
Shamanic Princess,6.64,"Action, Fantasy, Magic, Romance",OVA,6,"Bandai Visual, animate Film, Movic",Triangle Staff,Original,30 min. per ep.,30,Action,Bandai Visual,Triangle Staff
Variable Geo,5.62,"Action, Ecchi, Martial Arts, Shounen, Super Power",OVA,3,KSS,Chaos Project,Game,30 min. per ep.,30,Action,KSS,Chaos Project
Lost Universe,7.03,"Adventure, Comedy, Drama, Sci-Fi, Shounen, Space",TV,26,"SoftX, Studio Tulip",E&G Films,Light novel,22 min. per ep.,22,Comedy,Studio Tulip,E&G Films
Battle Athletess Daiundoukai,6.5,"Action, Comedy, Ecchi, Sci-Fi, Shounen, Space, Sports",OVA,6,"TV Tokyo, Genco, Pioneer LDC",AIC,Original,32 min. per ep.,32,Comedy,TV Tokyo,AIC
Battle Athletess Daiundoukai (TV),6.9,"Action, Sci-Fi, Adventure, Comedy, Sports, Drama, School, Shounen",TV,26,"TV Tokyo, Genco, Pioneer LDC",AIC,Original,22 min. per ep.,22,Comedy,TV Tokyo,AIC
DNA² OVA,6.57,"Comedy, Drama, Sci-Fi",OVA,3,"Bandai Visual, Movic",Madhouse,Manga,23 min. per ep.,23,Comedy,Bandai Visual,Madhouse
Eden's Bowy,6.52,"Action, Adventure, Fantasy, Romance, Sci-Fi",TV,26,"Bandai Visual, Sotsu, TV Tokyo Music",Studio Deen,Manga,24 min. per ep.,24,Action,Bandai Visual,Studio Deen
Saber Marionette J Again,7.23,"Action, Sci-Fi, Harem, Comedy, Romance, Mecha",OVA,6,Bandai Visual,Hal Film Maker,Novel,27 min. per ep.,27,Comedy,Bandai Visual,Hal Film Maker
Happy Seven: The TV Manga,6.31,"Comedy, Magic, Fantasy, School",TV,13,"Trinet Entertainment, Three Fat Samurai",Studio Hibari,Light novel,24 min. per ep.,24,Comedy,Three Fat Samurai,Studio Hibari
Coyote Ragtime Show,6.65,"Action, Adventure, Comedy, Mecha, Sci-Fi, Shounen",TV,12,"KlockWorx, Studio Mausu, Toshiba Entertainment",ufotable,Original,24 min. per ep.,24,Comedy,KlockWorx,ufotable
Zero no Tsukaima,7.33,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",TV,13,"Genco, Media Factory, Shochiku, Bushiroad, Happinet Pictures",J.C.Staff,Light novel,23 min. per ep.,23,Comedy,Genco,J.C.Staff
Masuda Kousuke Gekijou Gag Manga Biyori,7.21,"Comedy, Parody",TV,12,"Bandai Visual, SKY Perfect Well Think, Kids Station, DAX Production",Artland,Manga,5 min. per ep.,5,Comedy,Bandai Visual,Artland
Tsuyokiss,6.6,"Comedy, Romance, School, Slice of Life",TV,12,"Three Fat Samurai, Sol Blade","Trinet Entertainment, Studio Hibari",Visual novel,25 min. per ep.,25,Comedy,Three Fat Samurai,Studio Hibari
Gun-dou Musashi,5.8,"Adventure, Samurai, Fantasy",TV,26,TBS,ACC Production,Original,24 min. per ep.,24,Fantasy,TBS,ACC Production
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,6.16,"Action, Adventure, Fantasy, Magic, Sci-Fi",OVA,1,Banpresto,Trans Arts,Game,24 min.,24,Action,Banpresto,Trans Arts
Kujira no Chouyaku,6.66,"Drama, Fantasy, Kids",Movie,1,"Bandai Visual, Ai ga areba Daijobu",Tamura Shigeru Studio,Original,22 min.,22,Drama,Bandai Visual,Tamura Shigeru Studio
Nasu: Andalusia no Natsu,7.02,"Action, Sports, Seinen",Movie,1,"VAP, Oh! Production, Tokuma Shoten, Asmik Ace, Nippon Television Network, Tokyu Recreation","Madhouse, Telecom Animation Film",Manga,47 min.,47,Action,VAP,Madhouse
NHK ni Youkoso!,8.33,"Comedy, Psychological, Drama, Romance",TV,24,"NHK, Victor Entertainment",Gonzo,Novel,24 min. per ep.,24,Comedy,NHK,Gonzo
Macross Plus Movie Edition,7.72,"Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",Movie,1,Studio Nue,Triangle Staff,Original,1 hr. 55 min.,115,Action,Studio Nue,Triangle Staff
Oban Star-Racers,7.51,"Adventure, Mecha, Sci-Fi, Shounen",TV,26,Sav! The World Productions,Hal Film Maker,Original,25 min. per ep.,25,Sci-Fi,Sav! The World Productions,Hal Film Maker
Binbou Shimai Monogatari,6.88,"Slice of Life, Comedy, Drama, Seinen",TV,10,TV Asahi,Toei Animation,Manga,24 min. per ep.,24,Comedy,TV Asahi,Toei Animation
Boku wa Konomama Kaeranai,5.51,"Drama, Romance, Shounen Ai",OVA,1,Soft Garage,J.C.Staff,Manga,30 min.,30,Drama,Soft Garage,J.C.Staff
Tonagura!,6.73,"Comedy, Drama, Ecchi, Romance, School",TV,13,Starchild Records,Daume,Manga,24 min. per ep.,24,Comedy,Starchild Records,Daume
Demashita! Powerpuff Girls Z,6.35,"Action, Comedy, Magic, School, Sci-Fi, Shoujo, Slice of Life, Super Power",TV,52,"TV Tokyo, Aniplex, Sony Music Entertainment",Toei Animation,Other,25 min. per ep.,25,Comedy,Aniplex,Toei Animation
Bokura ga Ita,7.31,"Slice of Life, Drama, Romance, Shoujo",TV,26,"Marvelous, Pony Canyon, Delfi Sound",Artland,Manga,25 min. per ep.,25,Drama,Pony Canyon,Artland
Aquarian Age: Sign for Evolution,6.12,"Action, Sci-Fi, Adventure, Music, Super Power, Supernatural, Romance, Fantasy, Shounen",TV,13,Broccoli,Madhouse,Card game,24 min. per ep.,24,Action,Broccoli,Madhouse
3x3 Eyes: Seima Densetsu,6.97,"Action, Adventure, Horror, Demons, Romance, Fantasy",OVA,3,"Toei Animation, Bandai Visual, Kodansha",Studio Junio,Manga,45 min. per ep.,45,Action,Bandai Visual,Studio Junio
Shuten Douji,5.74,"Space, Supernatural, Demons, Historical, Horror, Sci-Fi, Shounen",OVA,4,Dynamic Planning,Studio Signal,Manga,50 min. per ep.,50,Sci-Fi,Dynamic Planning,Studio Signal
Chivas 1-2-3,6.01,"Action, Comedy, Ecchi, Fantasy, Supernatural",OVA,2,Teichiku Entertainment,Daume,Manga,27 min. per ep.,27,Comedy,Teichiku Entertainment,Daume
Innocent Venus,6.84,"Adventure, Drama, Mecha, Military, Sci-Fi",TV,12,Bandai Visual,Brain's Base,Original,23 min. per ep.,23,Drama,Bandai Visual,Brain's Base
Hand Maid Mai,6.05,"Comedy, Ecchi, Romance, Sci-Fi",OVA,1,Lantis,Tokyo Kids,Original,25 min.,25,Comedy,Lantis,Tokyo Kids
Bishoujo Senshi Sailor Moon SuperS,7.59,"Drama, Magic, Romance, Shoujo",TV,39,TV Asahi,Toei Animation,Manga,24 min. per ep.,24,Drama,TV Asahi,Toei Animation
Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,7.43,"Drama, Mecha, Military, Sci-Fi, Space",OVA,1,Mainichi Broadcasting System,Sunrise,Original,47 min.,47,Drama,Mainichi Broadcasting System,Sunrise
Night Head Genesis,6.78,"Sci-Fi, Mystery, Psychological, Supernatural, Drama",TV,24,"Actas, HoriPro, Four Some",Bee Media,Manga,24 min. per ep.,24,Drama,HoriPro,Bee Media
Shihaisha no Tasogare,5.83,"Action, Sci-Fi, Horror, Demons, Supernatural, Drama, Shoujo",OVA,1,Toei Video,"Madhouse, Production Reed",Manga,50 min.,50,Action,Toei Video,Madhouse
Yuugo: Koushounin,7.13,"Action, Military, Mystery, Psychological, Drama, Seinen",TV,13,G&G Entertainment,Artland,Manga,24 min. per ep.,24,Action,G&G Entertainment,Artland
Zone of the Enders: 2167 Idolo,6.9,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi",OVA,1,AT-X,Sunrise,Game,55 min.,55,Action,AT-X,Sunrise
